canonical_SMILES,raw_SMILES,potency,source
COc1cc(/C(O)=C(\C#N)c2cnccn2)cc([N+](=O)[O-])c1O,COc1cc(/C(O)=C(\C#N)c2cnccn2)cc([N+](=O)[O-])c1O,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1nccs1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1nccs1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cccnc1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cccnc1,1,active
CCNC(=O)/C(C#N)=C(\O)c1cc(O)c(O)c([N+](=O)[O-])c1,CCNC(=O)/C(C#N)=C(\O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1)c1cnc(C(=O)O)cn1,N#C/C(=C(/N)c1cc(O)c(O)c([N+](=O)[O-])c1)c1cnc(C(=O)O)cn1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCC(=O)O,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCC(=O)O,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1cc(O)no1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1cc(O)no1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cncnc1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cncnc1,1,active
N#C/C(C(=O)Nc1cnccn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)Nc1cnccn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCCO,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCCO,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N[C@@H](CO)C(=O)O,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N[C@@H](CO)C(=O)O,1,active
CCNC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,CCNC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
Clc1ccccc1-c1ccc(CNCC2(N3CCCC3)COC2)o1,Clc1ccccc1-c1ccc(CNCC2(N3CCCC3)COC2)o1,1,active
N#C/C(C(=O)c1cscn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)c1cscn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cccnn1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1cccnn1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCC1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1nc2ccccc2s1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1nc2ccccc2s1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCC[C@H]1C(=O)O,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCC[C@H]1C(=O)O,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccncc1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccncc1,1,active
Cc1ccc(/C(C#N)=C/c2cc(O)c(O)c([N+](=O)[O-])c2)nc1,Cc1ccc(/C(C#N)=C/c2cc(O)c(O)c([N+](=O)[O-])c2)nc1,1,active
N#C/C(=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1)c1nccs1,N#C/C(=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1)c1nccs1,1,active
COc1cc(/C(O)=C(\C#N)C(=O)NCc2ccncn2)cc([N+](=O)[O-])c1O,COc1cc(/C(O)=C(\C#N)C(=O)NCc2ccncn2)cc([N+](=O)[O-])c1O,1,active
N#C/C(C(=O)N1CCCOC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)N1CCCOC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccn1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccn1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1c[n+]([O-])ccn1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1c[n+]([O-])ccn1,1,active
CCN(CC)C(=O)/C(C#N)=C(\NC)c1cc(O)c(O)c([N+](=O)[O-])c1,CCN(CC)C(=O)/C(C#N)=C(\NC)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(C(=O)NCc1ccncn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)NCc1ccncn1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(C(=O)N1CCCCC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)N1CCCCC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
